player,age,run
V Kohli,34,6624
S Dhawan,37,6244
DA Warner,36,5881
RG Sharma,35,5879
SK Raina,36,5528
AB de Villiers,38,5162
MS Dhoni,41,4978
CH Gayle,43,4965
RV Uthappa,37,4952
KD Karthik,37,4376
G Gambhir,41,4217
AT Rayudu,37,4190
AM Rahane,34,4074
KL Rahul,30,3889
SR Watson,41,3874
MK Pandey,33,3648
SV Samson,28,3526
KA Pollard,35,3412
F du Plessis,38,3403
YK Pathan,40,3204
BB McCullum,41,2880
PA Patel,37,2848
RR Pant,25,2838
JC Buttler,32,2831
SS Iyer,28,2776
Q de Kock,30,2764
Yuvraj Singh,41,2750
V Sehwag,44,2728
SA Yadav,32,2644
M Vijay,38,2619
RA Jadeja,34,2502
SPD Smith,33,2485
SE Marsh,39,2477
DA Miller,33,2455
JH Kallis,47,2427
WP Saha,38,2427
DR Smith,39,2385
SR Tendulkar,49,2334
MA Agarwal,31,2327
GJ Maxwell,34,2319
N Rana,29,2181
R Dravid,49,2174
KS Williamson,32,2101
AJ Finch,36,2091
AC Gilchrist,51,2069
AD Russell,34,2035
JP Duminy,38,2029
MEK Hussey,47,1977
HH Pandya,29,1963
Shubman Gill,22,1900
