A Flintoff,44, Dwayne Bravo 
AL Menaria,31, Lasith Malinga 
AM Nayar,38,Amit Mishra DC 
AJ Tye,0,Yuzvendra Chahal 
A Nehra,42, Piyush Chawla 
A Mukund,31, Ravichandran Ash
AA Bilakhia,35, Bhuvneshwar Kumar
A Joseph,0,Sunil Narine  
AC Thomas,44,Harbhajan SinghK
A Chopra,44, Jasprit Bumrah 
AD Mathews,34, Umesh Yadav 
A Uniyal,40, Ravindra Jadeja 
A Mithun,32, Sandeep Sharma 
AF Milne,29, Rashid Khan 
AN Ahmed,33, Vinay Kumar 
AA Kazi,32, Z  Khan 
AC Voges,42, Axar Patel 
AM Rahane,33, Mohammad Shami 
A Turner,0, Kagiso Rabada 
A Mishra,39, Dale Steyn 
A Nel,44, Harshal Patel 
AJ Finch,35, Chris Morris 
AB McDonald,40, Mohit Sharma 
AD Russell,33, Shane Watson 
AM Salvi,40, Trent Boult 
A Singh,40, Jaydev Unadkat 
A Hales,0, RP Singh 
AG Murtaza,31, Praveen Kumar 
AA Chavan,36, Andre Russell 
AB Agarkar,44, Ashish Nehra 
AG Paunikar,33, Dhawal Kulkarni
Abdur Razzak,39, Albie Morkel 
A Choudhary,0, Pragyan Ojha 
AA Jhunjhunwala,39, Ishant Sharma 
A Kumble,51, Imran Tahir 
A Chandila,38, Shardul Thakur 
AB Dinda,37, Irfan Pathan 
AC Gilchrist,50, Morne Morkel 
AN Ghosh,35, Lakshmipathy Bal
A Dananjaya,0, Munaf Patel 
AC Blizzard,37, Mitchell McClena
AD Nath,28, Kieron Pollard 
A Roy,0, Ashok Dinda 
AA Noffke,44, Siddharth Trived
A Symonds,46, Jacques Kallis 
A Ashish Reddy,30, Shakib Al 
AB de Villiers,37, Muttiah Muralith
AD Mascarenhas,44, Mitchell Johnson
A Zampa,29, Rajat Bhatia 
AB Barath,31, Kuldeep Yadav 
Anand Rajan,34, Krunal Pandya 
Anirudh Singh,41, Deepak Chahar 
Ankit Sharma,30, James Faulkner 
Ankit Soni,0, Karn Sharma 
Anureet Singh,33, Mohammed Siraj 
AP Dole,34, Siddarth Kaul 
AP Majumdar,37, Shane Warne 
AP Tare,34, Rahul Chahar 
AR Bawne,0, Hardik Pandya 
AR Patel,27, Prasidh Krishna 
AS Rajpoot,28, Shreyas Gopal 
AS Raut,34, Jason Holder 
AS Yadav,0, Shahbaz Nadeem 
AT Rayudu,36, Khaleel Ahmed 
AUK Pathan,37, Nathan Coulter-N
AV Wankhade,29, Shadab Jakati 
Avesh Khan,0, Avesh Khan 
Azhar Mahmood,46, Jofra Archer 
B Akhil,44, Mustafizur Rahman
B Aparajith,27, Anil Kumble 
B Chipli,38, Ryan Harris 
B Geeves,39, Sreenath Aravind
B Kumar,31, Tim Southee 
B Laughlin,39, Pat Cummins 
B Lee,45, Varun Aaron 
B Stanlake,0,
B Sumanth,33,
BA Bhatt,31,
BA Stokes,0,
Basil Thampi,0,
BAW Mendis,36,
BB McCullum,40,
BB Samantray,33,
BB Sran,29,
BCJ Cutting,34,
BE Hendricks,31,
Bipul Sharma,38,
BJ Haddin,44,
BJ Hodge,47,
BJ Rohrer,40,
BMAJ Mendis,38,
BR Dunk,34,
BW Hilfenhaus,38,
C de Grandhomme,0,
C Ganapathy,40,
C Ingram,0,
C Madan,39,
C Munro,34,
C Nanda,42,
CA Ingram,36,
CA Lynn,31,
CA Pujara,33,
CH Gayle,42,
CH Morris,34,
CJ Anderson,31,
CJ Ferguson,37,
CJ Jordan,33,
CJ McKay,38,
CK Kapugedera,34,
CK Langeveldt,47,
CL White,38,
CM Gautam,35,
CR Brathwaite,33,
CR Woakes,0,
CRD Fernando,42,
D du Preez,40,
D Kalyankrishna,38,
D Salunkhe,39,
D Shorey,0,
D Short,0,
D Wiese,36,
D Willey,0,
DA Miller,32,
DA Warner,35,
DAJ Bracewell,31,
DB Das,35,
DB Ravi Teja,34,
DE Bollinger,40,
DH Yagnik,38,
DJ Bravo,38,
DJ Harris,42,
DJ Hooda,26,
DJ Hussey,44,
DJ Jacobs,39,
DJ Muthuswami,40,
DJ Thornely,43,
DJG Sammy,38,
DL Chahar,29,
DL Vettori,42,
DM Bravo,0,
DNT Zoysa,43,
DP Nannes,45,
DP Vijaykumar,35,
DPMD Jayawardene,44,
DR Martyn,50,
DR Smith,38,
DS Kulkarni,33,
DS Lehmann,51,
DT Christian,38,
DT Patil,37,
DW Steyn,38,
E Lewis,0,
EJG Morgan,35,
ER Dwivedi,33,
F Behardien,38,
F du Plessis,37,
FH Edwards,39,
FY Fazal,36,
G Gambhir,40,
Gagandeep Singh,40,
GB Hogg,50,
GC Smith,40,
GD McGrath,51,
GH Vihari,28,
GJ Bailey,39,
GJ Maxwell,33,
GR Napier,41,
GS Sandhu,28,
Gurkeerat Singh,31,
H Brar,0,
H Das,35,
H Gurney,0,
H Klaasen,0,
H Vihari,0,
H Viljoen,0,
Harbhajan Singh,41,
Harmeet Singh,29,
Harmeet Singh (2),0,
Harpreet Singh,30,
HH Gibbs,47,
HH Pandya,28,
HM Amla,38,
HV Patel,31,
I Malhotra,37,
I Sharma,33,
I Sodhi,0,
IC Pandey,32,
IK Pathan,37,
Imran Tahir,42,
Iqbal Abdulla,32,
IR Jaggi,32,
Ishan Kishan,23,
J Archer,0,
J Arunkumar,46,
J Bairstow,0,
J Behrendorff,0,
J Botha,39,
J Dala,0,
J Denly,0,
J Searles,0,
J Suchith,27,
J Syed Mohammad,38,
J Theron,36,
J Yadav,31,
JA Morkel,40,
Jaskaran Singh,32,
JC Buttler,31,
JD Ryder,37,
JD Unadkat,30,
JDP Oram,43,
JDS Neesham,31,
JE Taylor,37,
JEC Franklin,41,
JH Kallis,46,
JJ Bumrah,28,
JJ Roy,0,
JJ van der Wath,43,
JM Kemp,44,
JO Holder,30,
Joginder Sharma,38,
JP Duminy,37,
JP Faulkner,31,
JR Hopes,43,
JW Hastings,36,
K Ahmed,0,
K Goel,35,
K Gowtham,0,
K Khejroliya,0,
K Paul,0,
K Rabada,0,
K Santokie,37,
K Upadhyay,35,
KA Pollard,34,
KAJ Roach,33,
Kamran Akmal,39,
Kamran Khan,30,
Karanveer Singh,34,
KB Arun Karthik,35,
KC Cariappa,27,
KC Sangakkara,44,
KD Karthik,36,
KH Devdhar,32,
KH Pandya,30,
KJ Abbott,34,
KK Cooper,32,
KK Nair,30,
KL Rahul,29,
KM Asif,0,
KM Jadhav,36,
KMDN Kulasekara,39,
KP Appanna,33,
KP Pietersen,41,
KS Williamson,31,
Kuldeep Yadav,27,
KV Sharma,34,
KW Richardson,30,
L Ablish,39,
L Balaji,40,
L Ferguson,0,
L Livingstone,0,
L Ngidi,0,
L Plunkett,0,
L Ronchi,40,
LA Carseldine,46,
LA Pomersbach,37,
LH Ferguson,0,
LJ Wright,36,
LMP Simmons,36,
LPC Silva,42,
LR Shukla,40,
LRPL Taylor,37,
M Ali,0,
M Ashwin,31,
M de Lange,31,
M Kaif,41,
M Kartik,45,
M Klinger,41,
M Lomror,0,
M Manhas,42,
M Markande,0,
M Morkel,37,
M Muralitharan,49,
M Ntini,44,
M Rawat,36,
M Santner,0,
M Ur Rahman,0,
M Vijay,37,
M Vohra,28,
M Wood,0,
MA Agarwal,30,
MA Khote,41,
MA Starc,31,
Mandeep Singh,30,
Mashrafe Mortaza,38,
MB Parmar,33,
MC Henriques,34,
MC Juneja,31,
MD Mishra,37,
MDKJ Perera,31,
MEK Hussey,46,
MF Maharoof,37,
MG Johnson,40,
MG Neser,31,
Misbah-ul-Haq,47,
MJ Clarke,40,
MJ Guptill,35,
MJ Henry,0,
MJ Lumb,41,
MJ McClenaghan,35,
MK Pandey,32,
MK Tiwary,36,
ML Hayden,50,
MM Patel,38,
MM Sharma,33,
MN Samuels,40,
MN van Wyk,42,
Mohammad Ashraful,37,
Mohammad Asif,39,
Mohammad Hafeez,41,
Mohammad Nabi,0,
Mohammed Shami,31,
Mohammed Siraj,0,
MP Stoinis,32,
MR Marsh,30,
MS Bisla,37,
MS Dhoni,40,
MS Gony,37,
MS Wade,34,
Mustafizur Rahman,26,
MV Boucher,45,
N Naik,0,
N Pooran,0,
N Rana,28,
N Saini,33,
NB Singh,0,
ND Doshi,43,
Niraj Patel,0,
NJ Maddinson,30,
NJ Rimmington,39,
NK Patel,40,
NL McCullum,41,
NLTC Perera,32,
NM Coulter-Nile,34,
NS Naik,27,
NV Ojha,38,
O Thomas,0,
OA Shah,43,
P Amarnath,39,
P Awana,35,
P Chopra,0,
P Dharmani,47,
P Dogra,37,
P Krishna,0,
P Kumar,35,
P Negi,28,
P Parameswaran,36,
P Prasanth,36,
P R Barman,0,
P Raj,0,
P Sahu,36,
P Shaw,0,
P Suyal,32,
PA Patel,36,
PA Reddy,30,
Pankaj Singh,36,
Parvez Rasool,32,
PC Valthaty,38,
PD Collingwood,45,
PJ Cummins,28,
PJ Sangwan,31,
PM Sarvesh Kumar,32,
PP Chawla,33,
PP Ojha,35,
PR Shah,34,
PSP Handscomb,30,
PV Tambe,50,
Q de Kock,29,
R Ashwin,35,
R Bhatia,42,
R Bhui,0,
R Bishnoi,34,
R Dhawan,31,
R Dravid,48,
R McLaren,38,
R Ninan,36,
R Parag,0,
R Rampaul,37,
R Salam,0,
R Sathish,40,
R Sharma,34,
R Shukla,31,
R Singh,0,
R Tewatia,28,
R Vinay Kumar,37,
RA Jadeja,33,
RA Shaikh,36,
RA Tripathi,0,
Rashid Khan,0,
RD Chahar,0,
RE Levi,33,
RE van der Merwe,37,
RG More,29,
RG Sharma,34,
RJ Harris,42,
RJ Peterson,42,
RJ Quiney,39,
RN ten Doeschate,41,
RP Singh,36,
RR Bhatkal,36,
RR Bose,42,
RR Pant,24,
RR Powar,43,
RR Raje,35,
RR Rossouw,32,
RR Sarwan,41,
RS Bopara,36,
RS Gavaskar,45,
RS Sodhi,41,
RT Ponting,47,
RV Gomez,36,
RV Pawar,42,
RV Uthappa,36,
RW Price,45,
S Anirudha,34,
S Aravind,37,
S Badree,40,
S Badrinath,41,
S Chanderpaul,47,
S Curran,0,
S Dhawan,36,
S Dube,0,
S Gill,0,
S Gopal,28,
S Hetmyer,0,
S Kaul,31,
S Kaushik,26,
S Kuggeleijn,0,
S Ladda,35,
S Lamichhane,0,
S Mavi,0,
S Midhun,0,
S Nadeem,32,
S Narwal,39,
S Rana,37,
S Randiv,36,
S Rutherford,0,
S Sharma,0,
S Singh,0,
S Sohal,34,
S Sreesanth,38,
S Sriram,45,
S Tyagi,34,
S Vidyut,40,
S Warrier,0,
SA Abbott,29,
SA Asnodkar,37,
SA Yadav,31,
Sachin Baby,33,
Salman Butt,37,
Sandeep Sharma,28,
SB Bangar,49,
SB Jakati,41,
SB Joshi,51,
SB Styris,46,
SB Wagh,33,
SC Ganguly,49,
SD Chitnis,34,
SD Lad,0,
SE Bond,46,
SE Marsh,38,
Shahid Afridi,41,
Shakib Al Hasan,34,
Shivam Sharma,28,
Shoaib Ahmed,31,
Shoaib Akhtar,46,
Shoaib Malik,39,
SJ Srivastava,40,
SK Raina,35,
SK Trivedi,39,
SK Warne,52,
SL Malinga,38,
SM Boland,32,
SM Harwood,47,
SM Katich,46,
SM Pollock,48,
SMSM Senanayake,36,
SN Khan,24,
SN Thakur,30,
Sohail Tanvir,37,
SP Fleming,48,
SP Goswami,32,
SP Jackson,0,
SP Narine,33,
SPD Smith,32,
SR Tendulkar,48,
SR Watson,40,
SS Agarwal,0,
SS Iyer,27,
SS Mundhe,33,
SS Sarkar,37,
SS Shaikh,34,
SS Tiwary,32,
ST Jayasuriya,52,
STR Binny,37,
Sunny Gupta,33,
Sunny Singh,35,
SV Samson,27,
SW Billings,30,
SW Tait,38,
Swapnil Singh,30,
T Curran,0,
T Henderson,47,
T Kohli,33,
T Mishra,35,
T Natarajan,0,
T Shamsi,31,
T Taibu,38,
T Thushara,40,
TA Boult,32,
TD Paine,37,
Tejas Baroka,0,
TG Southee,33,
TL Suman,38,
TM Dilshan,45,
TM Head,28,
TM Srivastava,32,
TP Sudhindra,37,
TR Birt,40,
TS Mills,0,
U Kaul,34,
UA Birla,32,
UBT Chand,28,
Umar Gul,37,
UT Khawaja,35,
UT Yadav,34,
V Chakravarthy,0,
V Kohli,33,
V Pratap Singh,29,
V Sehwag,43,
V Shankar,30,
VH Zol,27,
Vishnu Vinod,0,
VR Aaron,32,
VRV Singh,37,
VS Malik,38,
VS Yeligati,36,
VVS Laxman,47,
VY Mahesh,34,
W Jaffer,43,
WA Mota,40,
Washington Sundar,0,
WD Parnell,32,
WP Saha,37,
WPUJC Vaas,47,
X Thalaivan Sargunam,36,
Y Gnaneswara Rao,37,
Y Nagar,31,
Y Venugopal Rao,39,
YA Abdulla,38,
Yashpal Singh,40,
YK Pathan,39,
Younis Khan,44,
YS Chahal,31,
